 C L N,0.728629 L N,0.193762 N,0.443281 N,0.707938 N,-0.970641 N,-0.747063 N,0.415815 N,0.234291 L N,-0.564867,-0.868099,-0.662160,0.248207,-0.318033,-0.361187,-0.264870 N,0.322001,0.604785,0.613758,0.053072,0.222205,0.596362,0.801202 N,-0.710379,0.260353,-0.195166,-0.492599,-0.726920,0.710379,-0.867672 N,-0.144383,0.146703,-0.395428,0.096103,-0.548875,-0.377300,-0.778741 N,0.616077,-0.730583,-0.431501,0.576220,0.790460,0.579272,0.487594 N,0.230445,-0.277749,0.713309,-0.543016,0.727165,-0.541124,-0.500900
 C L N,0.710196 L N,-0.870296 N,0.622120 N,0.324137 N,0.382977 N,0.605396 N,0.060274 N,0.371258 L N,-0.714469,0.379009,0.455794,0.555467,-0.937864,0.737358,0.289041 N,0.413129,-0.829096,0.103977,0.895810,-0.882443,-0.450056,-0.709647 N,0.963561,0.239967,-0.415510,0.844966,-0.264931,0.389081,-0.562731 N,-0.688162,-0.518906,0.042879,0.804559,-0.787164,0.805292,-0.116550 N,-0.839778,0.564196,-0.656423,0.948790,0.551744,0.740776,-0.578722 N,-0.086764,-0.992492,0.501266,-0.771905,-0.190588,-0.377728,0.985229
 C L N,-0.126621 L N,-0.535142 N,0.155736 N,0.065157 N,0.257363 N,-0.679617 N,0.008271 N,0.926084 L N,0.391522,0.849605,-0.620106,-0.328104,-0.643300,0.990356,-0.085116 N,0.996033,-0.804987,0.250343,-0.811212,-0.124546,0.863033,-0.903134 N,0.789239,-0.419965,-0.545396,0.538133,-0.178564,-0.596057,0.256142 N,0.208289,-0.096774,-0.067293,0.195654,0.269448,0.709586,0.657582 N,0.249550,0.441816,0.131504,-0.249733,-0.631459,0.475814,0.110263 N,0.810175,-0.514267,-0.622120,0.209449,0.397015,0.169225,-0.297403
 C L N,-0.608020 L N,0.522629 N,0.678884 N,-0.204688 N,0.001801 N,0.780328 N,-0.945067 N,0.989257 L N,0.145177,-0.898984,0.062654,-0.611866,0.686087,0.253517,0.315226 N,-0.604297,0.684317,-0.753349,-0.780145,0.486251,-0.371868,0.882138 N,-0.427839,-0.327372,-0.719474,0.466170,0.669240,0.415998,0.200476 N,0.494430,-0.494552,-0.711051,-0.996765,-0.877987,0.612476,0.705252 N,-0.578845,-0.768792,0.106418,-0.971496,-0.772454,-0.090976,0.504440 N,0.372295,0.086886,-0.852229,-0.126560,-0.596118,0.392437,-0.419294
 C L N,-0.011078 L N,-0.839229 N,0.481490 N,0.224097 N,0.240761 N,0.382244 N,0.609058 N,-0.701773 L N,0.152074,0.735466,0.823115,0.229408,0.455367,-0.913572,0.335551 N,0.953063,-0.369976,0.138401,-0.388348,-0.652150,-0.782891,0.738090 N,0.702445,0.488632,-0.690237,-0.346171,-0.841304,-0.846797,0.281960 N,0.640004,0.090182,-0.103488,-0.182043,-0.402509,-0.068880,0.002411 N,-0.694693,-0.353923,0.475997,-0.372234,0.653371,0.918149,0.746696 N,0.450056,-0.399884,0.887997,-0.745537,-0.868526,0.569933,0.049165
 C L N,0.219275 L N,0.912229 N,-0.855464 N,0.751274 N,0.307718 N,-0.355754 N,-0.790399 N,0.010102 L N,-0.545824,-0.419416,0.839961,0.102329,0.325602,-0.770928,-0.014924 N,-0.241737,-0.006378,0.586718,0.018525,-0.235267,0.376324,0.064302 N,0.212561,-0.209632,-0.988220,0.415754,-0.798761,0.246132,0.726493 N,-0.016999,0.494675,-0.006195,-0.239784,0.570727,0.105625,-0.285806 N,0.911435,0.261696,-0.646840,-0.251503,-0.736747,0.486557,0.903439 N,0.223975,-0.944334,-0.340312,-0.888180,0.278420,-0.736747,0.694144
 C L N,0.084811 L N,0.969665 N,-0.892392 N,-0.837153 N,0.049348 N,-0.146397 N,-0.810663 N,-0.482406 L N,0.783074,-0.534471,-0.706900,-0.749809,0.863277,-0.839778,-0.905820 N,-0.882565,-0.327189,0.829401,-0.202796,-0.134434,0.892331,0.674368 N,0.068453,0.684194,0.387066,-0.204627,-0.481674,-0.991333,0.051180 N,0.909604,-0.202612,-0.517808,0.171117,-0.489731,0.368023,0.890561 N,-0.129002,0.780450,-0.985656,0.881954,0.203101,0.572314,0.153355 N,-0.715140,-0.555345,-0.233985,-0.991455,-0.164159,-0.835505,0.319865
 C L N,0.449873 L N,-0.602588 N,0.388043 N,0.231422 N,0.309793 N,0.087985 N,-0.803400 N,0.090732 L N,-0.900754,0.949156,-0.071932,0.939940,0.455733,0.061922,0.359844 N,0.385601,-0.255776,-0.222755,-0.900082,0.619556,-0.660878,-0.878353 N,-0.378887,0.568957,-0.575060,-0.356182,-0.030671,-0.981689,-0.120273 N,0.015717,0.211890,0.517075,-0.197851,-0.300394,0.685293,0.884640 N,0.246620,0.994568,-0.893063,0.125706,0.727103,-0.226478,-0.387188 N,-0.431562,-0.946593,0.225135,-0.217627,-0.962767,-0.937925,-0.088595
 C L N,-0.922849 L N,-0.495834 N,-0.621448 N,-0.504624 N,-0.692984 N,0.240638 N,0.770745 N,0.878170 L N,-0.608692,0.559313,0.291116,0.313517,0.818293,-0.089084,0.842586 N,0.328349,-0.698477,0.272683,0.139073,-0.155919,0.886044,0.081149 N,0.157140,0.072909,-0.489425,-0.206092,-0.299478,-0.926756,0.590503 N,-0.606983,-0.859432,-0.221168,0.181494,-0.858150,-0.604663,-0.688223 N,0.288675,-0.091342,0.208594,0.394696,-0.117405,0.368938,-0.206946 N,0.671438,0.184423,-0.600818,0.898923,0.752007,-0.216590,0.974914
 C L N,-0.629383 L N,0.791437 N,0.148900 N,-0.115879 N,0.254677 N,0.417035 N,-0.900754 N,-0.428877 L N,-0.479598,-0.184729,0.790643,0.420393,0.456893,0.792108,-0.212867 N,-0.205176,0.807733,-0.382794,-0.223792,0.141148,-0.292886,0.467391 N,0.490707,0.472762,0.478866,-0.721366,-0.599658,-0.454817,0.360881 N,0.822260,-0.264321,0.035310,-0.781243,0.814875,-0.593860,0.035920 N,0.309671,-0.122959,0.375286,-0.819147,-0.840876,-0.848445,-0.944395 N,-0.289834,-0.385540,0.394574,-0.714652,-0.210303,-0.864315,0.351482
